Artist Name(s),Album Name,Liked Track Count
Chappell Roan,The Rise and Fall of a Midwest Princess,4
Charlie Bereal,Walk the Streets of Love,1
Charlie Burg,Reach,1
Charlie Burg,Live in Peter's Attic,2
Charlie Burg,PlantedInMyMind.Memo,1
Charlie Burg,Infinitely Tall,5
Charlie Burg,"Two, Moonlight",1
Charlie Burg,Channel Orange In Your Living Room,1
Charlie Burg,Lancaster Nights,1
Charlie Burg,"Three, Fever",1
Charlie Hunter;Norah Jones,Songs From The Analog Playground,1
Chase Ceglie,Chaseland,1
Cheers Elephant,Like Wind Blows Fire,1
Chet Atkins,Guitar Legend: The RCA Years,1
Chicago,Chicago V (Expanded & Remastered),1
Chicago,Chicago IX: Chicago's Greatest Hits,1
Childish Gambino,Bando Stone and The New World,1
Childish Gambino,Atavista,2
Childish Gambino,"""Awaken, My Love!""",3
Childish Gambino,Summer Pack,1
Childish Gambino,Kauai,2
Childish Gambino,3.15.20,3
Childish Gambino;21 Savage;Ink;Kadhja Bonet,3.15.20,1
Childish Gambino;Ariana Grande,Atavista,1
Childish Gambino;Christian Rich,Kauai,1
Childish Gambino;Summer Walker,Atavista,1
Chris Cohen,Paint a Room,1
Chris Thile;Brad Mehldau,Chris Thile & Brad Mehldau,1
Christian Lee Hutson,Beginners,2
Cibo Matto,Stereotype A,1
Cinya Khan,Just Waiting,1
Circles Around The Sun,Circles Around the Sun,1
City and Colour,Bring Me Your Love (Special Edition),1
Claire Rosinkranz,Dancer,1
Claire Rosinkranz,Frankenstein,1
Clairo,Sling,2
CLAY,Orange,1
CLAY,orange,1
cleaned,Vivid,1
cleaned;木村仁星,MOONFLIGHT,1
Clerel,Blackstone,1
Coast Modern,Guru,1
Cola Boyy;The Avalanches,Don't Forget Your Neighborhood,1
Coldplay,Ghost Stories,1
Collettivo Immaginario;Nicolò Masetto;Alberto Lincetto;Tommaso Cappellato;Mocky,Oltreoceano,1
Common Saints,Idol Eyes,1
Conspiracy Of Owls,Conspiracy Of Owls,1
Cooks But We're Chefs,Funeka,1
Cory Henry,Art of Love,1
Cory Wong,The Optimist,1
Cory Wong,Golden,1
Cory Wong,"MSP, Pt. 1",1
Cory Wong;dodie,The Lucky One,1
Cory Wong;KATIS;Marti Fischer,The Optimist,1
Cory Wong;Tom Misch,Motivational Music for the Syncopated Soul,1
Couch,Fall Into Place,1
Cyrille Aimee,Cyrille Aimée Live,1
Cōrt;Ava,Yesterday,1
D'Angelo,Black Messiah,3
D'Angelo,Voodoo,2
D.A. Wallach,Time Machine,1
Daft Punk,Human After All,2
Daft Punk,Random Access Memories,3
Daft Punk,Discovery,8
Daft Punk;Julian Casablancas,Random Access Memories,1
Daft Punk;Panda Bear,Random Access Memories,1
Daft Punk;Paul Williams,Random Access Memories,1
Daft Punk;Pharrell Williams,Random Access Memories,1
Daft Punk;Pharrell Williams;Nile Rodgers,Random Access Memories,1
Daft Punk;Todd Edwards,Random Access Memories,1
DAISY,Eastside,1
DAISY,STILL HERE,1
Dan & Drum,5 Dollars,1
Dan & Drum,Growl Pop,1
Dan Croll,On Top,1
Dan Reeder,Every Which Way,3
Dan Reeder,Fun Campfire Song,1
Dan Reeder,Kung Fu is My Fighting Style,1
Dan Reeder,Dan Reeder,1
Dan Reeder,Nobody Wants to Be You,2
Daniel Caesar,Son Of Spergy,4
Daniel Caesar,Freudian,1
Daniel Caesar,NEVER ENOUGH,3
Daniel Caesar,Get You - Single,1
Daniel Caesar,CASE STUDY 01,3
Daniel Caesar;Brandy,CASE STUDY 01,1
Daniel Caesar;H.E.R.,Freudian,1
Daniel Caesar;John Mayer,CASE STUDY 01,1
Daniel Caesar;Mustafa,NEVER ENOUGH,1
Daniel Caesar;Norwill Simmonds,Son Of Spergy,1
Daniel Caesar;Sean Leon;Jacob Collier,CASE STUDY 01,1
Darling Joan,"you, the sun",1
David Byrne;Fatboy Slim;Nellie McKay,Here Lies Love,1
Daye Jack,No Data,1
Dayglow,Harmony House,1
Dead Horse Beats,Bad Hopes,1
Declan McKenna,What Do You Think About the Car?,1
Dehd,Blue Skies,1
Del Water Gap,1 (646) 943 2672 (Extended Play),1
Devendra Banhart,Smokey Rolls Down Thunder Canyon,1
Devon Gilfillian,Black Hole Rainbow,1
Dezron Douglas;Brandee Younger,Force Majeure,1
Dirty Projectors,Lamp Lit Prose,1
DISPATCH,Bang Bang,1
Dizzy K.,"Sweet Music, Vol. 1",1
Django Reinhardt,Djangology 49,1
Doc Robinson,Deep End,1
dodie,Human,2
dodie;Tom Walker,Human,1
Doechii,Anxiety,1
Doechii,Alligator Bites Never Heal,1
Doja Cat,Paint The Town Red,1
Doja Cat;SZA,Kiss Me More (feat. SZA),1
DOMi & JD BECK;Anderson .Paak,NOT TiGHT,1
Dora Jar,Bumblebee,1
Dr. Dog,Dr. Dog,1
Dr. Dog,B-Room (Deluxe Edition),1
Dr. Dog,Fate,1
Dre'es;Mia,Warm (feat. Mia),1
Drugdealer;Weyes Blood,The End Of Comedy,2
Duncan Fellows,Both Sides of the Ceiling,1
Duval Timothy,Sen Am,1
Early Eyes,Penelope,1
Early Eyes,Marigolds,1
Earth Kenan,Good Luck Babe,1
edbl;Alfie Neale;Jarki Monno,Cigars,1
Edouard Ferlet,Sun Dog,1
ego apartment,NEXT 2 U,1
Electric Guest,Mondo,1
Electric Guest,Plural,3
Eleni Drake,Vanilla Sky,1
Eleni Drake,Surf The Sun,1
Eli Winter,Maroon,1
Eli Winter,The Time to Come,1
Eliza Lieberman,Where You Are,2
Elohim,Hallucinating (Mariachi Version),1
Eloise,For You,1
Eloise,Somewhere In-Between,1
Eloise,This Thing Called Living,2
Elton John,Goodbye Yellow Brick Road (Remastered),1
Em9,Heart Shaped Box,1
Emerson Kitamura,ロックンロールのはじまりは,1
Emilie-Claire Barlow,The Beat Goes On,1
Emily King,Scenery,2
Emily King,Special Occasion,1
Emily King,Special Occasion - A COLORS SHOW,1
Emily King,The Seven EP,1
Emily King,The Switch,1
Emily King;aivi & surasshu;Rebecca Sugar;Roger Hicks;Edwin Rhodes;Travis Kindred,Steven Universe Future (Original Soundtrack),1
Eminem,The Slim Shady LP,1
Eminem,Houdini,1
Emma Harner,Bricks and Wedges,1
Emmaline,Soft Spot,1
Erik Satie;Olga Scheps,Satie,1
Erikson Jayanto,Slice of life (人生のひとこま),1
Ernest Ranglin;Monty Alexander,Untitled,1
Erykah Badu,Mama's Gun,1
Eternity Forever,Fantasy,1
Ethan Gruska,En Garde,1
Ethan Gruska;Phoebe Bridgers,En Garde,1
Ethan Regan,wildflowers,1
Etta Marcus,The Death Of Summer & Other Promises,1
Extreme,Extreme II - Pornograffitti,1
Ezra Bell,Don't All Look Up At Once,1
Ezra Williams,My Own Person,1
Fantasy Guys,On Poppy Island,1
Far Caspian,Ways To Get Out,1
Fat Night,Live for Each Other,8
Fat Night,Question,2
Fat Night,Honest Man,1
Father John Misty,Mahashmashana,1
Father John Misty,Pure Comedy,1
Father John Misty,Real Love Baby,1
Father John Misty,Fear Fun,1
Fats Waller,At The Piano (Bluebird's Best Series),1
Faye Webster,I Know I'm Funny haha,1
Feed Me Jack,Anatolia,1
Feist,Let It Die,2
Felbm,Tape 3,1
Felix Rabito,Bread,1
Feng Suave,Venus Flytrap,1
Feng Suave,Half-Moon Bag,1
Fiona Apple,Fetch The Bolt Cutters,1
FireCityFunk,Surrender To Me,1
FIZZ,The Secret To Life,4
FLEECE,Do You Wanna Party,1
FLEECE,Voyager,1
Fleet Foxes,A Very Lonely Solstice,4
Fleet Foxes,Helplessness Blues,2
Fleet Foxes,Shore,4
Fleet Foxes,Fleet Foxes,2
Fleet Foxes,Crack-Up (Choral Version) / In the Morning (Live in Switzerland),1
Fleet Foxes,First Collection 2006-2009,1
flipturn,Heavy Colors,2
Flyte,Flyte,1
Flyte,The Loved Ones,1
Folk Bitch Trio,Analogue/ I Heard,1
Foreign Fields,The Beauty of Survival,1
Foster The People,Paradise State of Mind,1
Foster The People,Torches,2
Foxygen,We Are the 21st Century Ambassadors of Peace & Magic,1
Foy Vance,Thank You For Asking,1
Francis Hime,Hoje,1
Frank LoCrasto,El Dorado,2
Frank Ocean,Blonde,1
Frank Ocean,channel ORANGE,1
Frank Ocean;Earl Sweatshirt,channel ORANGE,1
Franz Ferdinand,Franz Ferdinand,1
Free Nationals;Benny Sings,Free Nationals,1
Free Nationals;Daniel Caesar;Unknown Mortal Orchestra,Free Nationals,1
Free Nationals;Mac Miller;Kali Uchis,Free Nationals,1
Free Nationals;T.I.,Free Nationals,1
French Cassettes,Rolodex,1
Fruit Bats,Absolute Loser,1
Full Crate;Susan Carol;Sergiio,Magnetic,1
Funkadelic,America Eats Its Young,1
Funkmammoth,Bird Watching,1
Gabriel,DREAMBOY,1
Gabriel Sayer,Isabelle,1
Gabriel Sayer;Bambina,Youngest Child,1
Gabriel Sayer;Riley Geare,Spring of Choice,1
Game & Sound,"VGM Covers, Vol. 11",1
Gammalgrass,Obsolete Music 1,1
"Gareth Donkin;quickly, quickly;The Breathing Effect",GEEK OUT!,1
Garoto,Projeto Memoria Brasileira : Viva Garoto,2
Gen di Calabria,Wings of the Dawn,1
Gen Hoshino,Baka no Uta,1
Genesis Owusu,Missing Molars (Swnt Deluxe),1
Genesis Owusu,Smiling with No Teeth,1
George Frideric Handel;Christina Pluhar;L'Arpeggiata,Handel goes Wild,1
Georgia Harmer,Stay In Touch,1
Gerald Clayton,Life Forum,1
Gerard Alain,OPENING ACT,1
Ginger Root,Loretta,1
Gipsy Kings,Allegria,1
Gipsy Kings,!Volare! The Very Best of the Gipsy Kings,1
"Giuseppe Verdi;Choir of King's College, Cambridge;Stephen Cleobury",Verdi: Four Sacred Pieces; Pater Noster,1
Glass Animals,How To Be A Human Being,1
Goodbye Kumiko,My Wild Arms,1
Gorillaz,Plastic Beach,1
Gorillaz,The Now Now,1
Gorillaz;De La Soul,Demon Days,1
Gorillaz;George Benson,The Now Now,1
Gorillaz;Kano;Roxani Arias,"Song Machine, Season One: Strange Timez (Deluxe)",1
Gorillaz;Mick Jones;Paul Simonon,Plastic Beach,1
Gorillaz;Octavian,"Song Machine, Season One: Strange Timez (Deluxe)",1
Gotch,後藤と東郷,1
Greg Chiapello,Around the World,1
Greg Kramer;Otieno Terry,Tell Me,1
Greg Mayo;Akie Bermiss,Alone Again,1
Greg Phillinganes,Pulse (Expanded Edition),1
"Greg Spero;Ronald Bruner, Jr.;MonoNeon;Ruslan Sirota",July Play (Tiny Room Sessions),1
Guantanamo Bay Surf Club,Guantanamo Bay Surf Club,1
Hajk,Drama,1
Haley Heynderickx,I Need to Start a Garden,1
Haley Heynderickx;Max García Conover,Among Horses III,1
HALFnHALF,Bad News,1
half•alive,"Now, Not Yet",1
Harry McNally,Easy Does It,1
Harry Nilsson,Aerial Ballet,1
Havelock,TRY B4U BUY,1
Her's,Invitation to Her's,2
Her's,Songs of Her's,1
Herb Alpert & The Tijuana Brass,Whipped Cream & Other Delights,1
Hermanos Gutiérrez,Hoy Como Ayer,1
Hi-Lo Jack;DAP The Contract;Lawrence;Stolen Jars,Old New Clothes,1
Hi-Lo Jack;Lawrence;Stolen Jars;DAP The Contract,Old New Clothes,4
Hiatus Kaiyote,Choose Your Weapon (Japan Version),1
Hiatus Kaiyote,Red Room,1
Hiatus Kaiyote,Mood Valiant,3
Hiatus Kaiyote,Choose Your Weapon,1
Hiatus Kaiyote;Arthur Verocai,Mood Valiant,1
Hiatus Kaiyote;Arthur Verocai,Get Sun,1
Hippo Campus,Bambi,1
Hiroshi Sato,Awakening,1
Hohnen Ford,Infinity,1
Holy Hive,Float Back To You,1
Holy Hive;Mary Lattimore,Float Back To You,1
Honey Butter,The Answer,1
Honeybutter,Startover,1
Honeybutter,Bite the Bit,1
Hope Tala,Party Sickness,1
Hope Tala,Sensitive Soul,2
Hope Tala;Aminé,Girl Eats Sun,1
Horsey,Debonair,1
Houndmouth,Little Neon Limelight,1
Housecat,"Housecat & Sisyphus 55, Vol. 2",2
Housecat,Time in Thought,1
Human Bloom,Capillary,1
Hunny Ten,Take You Home,1
i said yes,California,1
Ichiko Aoba,ｑｐ,1
illi mel,Lucilla,1
Inara George;Charlie Wadhams,Somethin' Stupid,1
Infinity Song,Metamorphosis,1
Ingrid Michaelson,Be OK,1
Iris Temple,Duality,1
Ironsides,Changing Light / Sommer,1
Isa Reyes,Sweet Tooth,1
Isak Thomas and The Stoop Boys;Johnny Cattini,Heaven,1
Isao Tsukamoto,ARCHES,2
iwamizu,Again,1
J. Cole,2014 Forest Hills Drive,1
Jack Stauber,Pop Food,1
Jack Stauber,HiLo,3
Jack Stauber,Finite Form,1
Jackie Evans,Leave You,1
Jackie Evans,Jackie Evans (Live at The Bunker Studio),2
Jackson Lundy,"Jackson Lundy Presents ""Loverboy"" and ""Me & You""",1
Jackson Lundy,Dandelions,1
Jackson Lundy,Calypso,1
Jacob Banks;Adekunle Gold;Samm Henshaw,Lies About The War,1
Jacob Banks;Anna Leone,Lies About The War,1
Jacob Collier,The Sun Is In Your Eyes (Voice Memo),1
Jacob Collier,In My Room,1
Jacob Collier,In the Bleak Midwinter,1
Jacob Slade,Jacob Slade,1
Jamila Woods,SULA (Paperback),1
Jamiroquai,Synkronized,1
Jamiroquai,High Times - Singles 1992-2006,1
Jank Setup,In Motion,1
Jay Jay Pistolet,Vintage Red,1
Jaymison,Yellow Squash,1
Jazz Emu,Humilis,3
JBM;Juan Bautista Matienzo,Suite Gasolera,1
JDM Global,Go Easy,1
JDM Global,Easygoing,1
Jeb Bush Orchestra,3 for 1,1
Jeff Mangum,Live at Jittery Joe's,1
Jelani Aryeh,Stella Brown,1
Jet,Get Born (Deluxe Edition),1
Jim Hall,Concierto (CTI Records 40th Anniversary Edition),1
Jimi Charles Moody,Highbury,1
JMSN,Whatever Makes U Happy,2
JMSN,Velvet,4
Jockstrap,Wicked City,3
Joe Hertler & The Rainbow Seekers,Pluto,1
Joe Hisaishi,Howl's Moving Castle Soundtrack,1
Joey Dosik,Game Winner - EP (Deluxe Edition),1
Joey Pecoraro,The Sea,1
John Roseboro,Johnny,1
jomm;readyaimfire27,Astronaut Song,1
Jon Batiste;Stay Human,MY N.Y.,1
Jonathan Richman;The Modern Lovers,Modern Lovers '88,1
Jordan Mackampa,Over & Out,1
Jordana;TV Girl,Summer's Over,1
Joshua Redman;The Bad Plus,The Bad Plus Joshua Redman,1
João Donato,Millennium,1
Juice,Audrey Tell Me,1
Juicy Lemon Club,Green & Blue,1
Julia Jacklin,Crushing,1
Julian Lage,Love Hurts,1
Julian Lage & Chris Eldridge,Mount Royal,1
Juliette Armanet,Souris Calle,1
Julius Rodriguez,Let Sound Tell All,1
Jungle,Loving In Stereo,1
Jungle,GOOD TIMES / PROBLEMZ,1
Jungle;Bas,Loving In Stereo,1
Junior Mesa,Caroline,1
Juniper,Juniper,1
Juniper,Here for the First Time,1
Just Friends,Nothing but Love,1
Justice,Justice,2
Justice Der,Favorites,1
K.ZIA,Genesis,1
Kacey Musgraves,Golden Hour,1
Kaden MacKay,Passing Through (Can't the Future Just Wait),1
Kai Straw,Toothpick,1
KAINA;Andrew Bedows;Burns Twins,Sweet Asl.,1
KAINA;Andrew Bedows;Burns Twins;Maceo Haymes,Sweet Asl.,1
KALI,Insomnia,1
Kamasi Washington,The Epic,1
KAMAUU;Adi Oasis,MANGO (feat. Adi Oasis),1
Kanye West,Donda,2
Kaori Muraji,Cinema - Movie Themes For Classical Guitar,1
Kate Bollinger,Talk About It (B-Side),1
Kate Bollinger,Yards / Gardens,1
KAYTRANADA;Anderson .Paak,99.9%,1
Keane,Hopes And Fears,1
Keenan O'Meara,If I Could Leave,1
Kelley Stoltz,Below The Branches,1
Kendrick Lamar,"good kid, m.A.A.d city (Deluxe)",1
Kendrick Lamar,untitled unmastered.,1
Kendrick Lamar,The Heart Part 5,1
Kendrick Lamar,Mr. Morale & The Big Steppers,3
Kendrick Lamar,To Pimp A Butterfly,2
Kendrick Lamar;Baby Keem;Sam Dew,Mr. Morale & The Big Steppers,1
Kendrick Lamar;Beth Gibbons,Mr. Morale & The Big Steppers,1
Kevin Abstract,ARIZONA BABY,1
Kevin Abstract;Dominic Fike,Blush,1
Kid Bloom,"Hold In, Hold On",1
King Flamingo,Cidade Da Paixão,1
King Gizzard & The Lizard Wizard,Paper Mâché Dream Balloon,1
King Guru,Come to the Window,1
Kingo Hamada,midnight cruisin',1
Kings Go Forth,The Outsiders Are Back,1
KIRBY,Boyz II Men,1
Kishi Bashi,Sonderlust,2
Klaatu,Hope,1
KNOWER,KNOWER FOREVER,1
Knox Fortune,Paradise,1
Kota the Friend,Oh Darling How I Love You .,1
Kraak & Smaak;IVAR,Velvet Seas,1
Kurt Elling,The Gate,1
Kyle Sparkman,Funk215,1
Kyle Thornton & The Company,"Space to Move, Pt. I",1
L'Impératrice,Tako Tsubo,2
L'Impératrice,Odyssée - EP,1
La Roux,La Roux,1
Lady Gaga,Born This Way,1
Lake Street Dive;Madison Cunningham,Neighbor Song (ft. Madison Cunningham),1
Lambert,Open,1
Landlady,The World Is A Loud Place,1
Laufey,Everything I Know About Love,2
Laufey,Bewitched,1
Laufey,The Reykjavík Sessions,1
lavender;nomoon,blue,1
Lawrence,Breakfast,3
Lawrence,Living Room,1
Lawrence,Homesick,1
Lawrence,Lawrence on Audiotree Live,1
Leif Vollebekk,New Ways,1
Leif Vollebekk,Moondog,1
Lemaitre;Jennie A.,Chapter One,1
Leo Kottke;Mike Gordon,Noon,1
Leroy,Squish,1
Liana Flores,The Water's Fine!,1
Lianne La Havas,Blood,1
Lianne La Havas,Lianne La Havas,2
Lianne La Havas,Is Your Love Big Enough? (Deluxe Edition),1
Lianne La Havas,Is Your Love Big Enough?,1
Lianne La Havas,Say a Little Prayer (Live),1
LILO,The Balcony,1
Linda Diaz,Magic,1
LiteBeats,Sounds from Desmos,1
Liv.e,CWTTY+,1
Lizzo,Cuz I Love You,1
Lizzy McAlpine,Older,2
Lizzy McAlpine,Give Me A Minute,1
Lizzy McAlpine;Jacob Collier,erase me (feat. Jacob Collier),1
Local Natives,Gorilla Manor,1
Lofty,Hideaway,1
Lola Marsh,"Something Stupid (From ""Better Call Saul"")",1
Lonely Benson,Lonely Benson,1
LOONY,soft thing,1
Louie Zong,Tropical,1
Louie Zong,Suburbia,1
Louie Zong,Beach,2
Louie Zong;Brian David Gilbert,Breezy Slide,1
Louie Zong;The Barking Dawgz,Dawgz,1
Louis Cole,Time,3
Louis The Child,Love Is Alive EP,1
Luca Sestak,Lighter Notes,1
LucasGitanoFamily,Van Gogh,1
Lucius,Second Nature,1
lucky swami club,Sunday,1
Lucy Lu,Boy With The Sun Song,1
Luiz Bonfá,Solo in Rio 1959,4
Luiz Bonfá,Introspection,1
Luiz Bonfá;Panos Megarchiotis,Violão Brasileiro (20th Century Brazilian Music for Guitar),1
Luke Chiang,Used to Me,1
Luke Levenson;Abbey Smith,Smoke,1
Luke Tyler Shelton,Blue Sky,1
Lullatone,The Sounds of Spring - EP,1
Lullatone,Thinking About Thursdays,2
M.I.L.K.;Benny Sings,Always Summer Somewhere,1
Mac Ayres,Drive Slow,1
Mac Miller,Swimming,2
Mac Miller,Circles,2
Mac Miller,The Divine Feminine,1
Mac Miller,Good News,1
Mac Miller;Anderson .Paak,The Divine Feminine,1
Mac Miller;Ty Dolla $ign,The Divine Feminine,1
MACKandgold,Take Me In,1
Maddie Jay,Lunch Break,1
Madison Cunningham,Ace,1
Madison Cunningham,Broken Harvest,1
Madison Cunningham,Subtitles,1
Madison Cunningham,Who Are You Now,3
Madison Cunningham;Remi Wolf,Hospital (One Man Down),1
Madison McFerrin,You + I,2
mage tears,old songs,1
Magic City Hippies,Hippie Castle EP,1
Mamahawk,Brain Invaderz!,1
Mamalarky,Hex Key,1
mamerico,minuscule,1
Manuel Ponce;Alexandra Whittingham,Ponce: Estrellita (Arr. Abril & Barrueco for Guitar),1
Manwolves,These Days,1
Manwolves,A Safety Meeting,1
Marc Rebillet,Loop Daddy II,1
Mariachi Arco Iris,Changes,1
Mark Barlow;Isla Vista Worship,Soul Hymns,1
MARO;Lisa Oduor-Noah;Xenia Manasseh,"MARO, Vol. 2",1
Maroon 5,It Won't Be Soon Before Long.,1
Maroon 5,V (Deluxe),1
Marques Martin,Brave & Afraid,1
Marrow,Two,1
Marsandaras (M*A*R*S),Songs for Martians,1
Martin Solveig;Dragonette,Hello,1
Marty O'Reilly & the Old Soul Orchestra,Pray for Rain,1
Mathien,The Freedom Tapes,1
Mathien;Soul Food Horns,Bad Friend,1
Matt and Kim,Grand,1
Matt Block;Morton Block,Strange Harbors,1
Matt Duncan,Soft Times,2
Matt Maltese,Good Morning It's Now Tomorrow,1
Max Pope,Less Than Nothing,1
Max Pope,All That I Need,1
Maxwell Young,Right Here,1
May Erlewine;Woody Goss,Anyway,2
Maya Delilah,Harvest Moon,1
Maya Delilah,I'm Just Stupid,1
Maya Delilah,Gato,1
McFabulous,I Live Above the Hobby Shop,1
Mei Semones,Animaru,1
Mel Blue,Sanctuary Point,1
Melanie Faye,Melanie Faye EP,1
Melissa Polinar,Honest,1
Melt,West Side Highway,2
Melt,Fake Romantic,1
Melt,Stupid in Love,1
Melt,Inside,1
Melt,Sour Candy,1
Men I Trust,Untourable Album,2
Men I Trust,Oncle Jazz,1
Mesita,Living Breathing,1
MGMT,Congratulations,1
